benchmark,transformation,family,dataset,replicate,pca_dim,alpha,knn,n_clusters,n_clusters_counts,ARI,AMI,NMI,rel_ARI,rel_AMI,rel_NMI,mean_knn_overlap
simulation,sanity_map,latent_expr,muscat,5,10,FALSE,50,8,12,0.43323189847139065,0.5269503945461248,0.5269503945461248,1.0531204526964568,0.8804724348170188,0.8804724348170188,2.4058
simulation,sanity_dists,latent_expr,muscat,5,10,FALSE,50,8,5,0.3982825612696472,0.5928244921188893,0.5928244921188893,0.9681639618535468,0.9905403419323041,0.9905403419323041,2.2284
simulation,glmpca,count_model,muscat,5,10,FALSE,50,8,12,0.3891858878195627,0.6340772940466047,0.6340772940466047,0.9460513406555547,1.0594689457102835,1.0594689457102835,2.4784
simulation,newwave,count_model,muscat,5,10,TRUE,50,8,9,0.5603852785528031,0.7211547327311447,0.7211547327311447,1.3622108628571585,1.2049651541764403,1.2049651541764403,2.5808
simulation,raw_counts,negative_control,muscat,5,10,FALSE,50,8,11,0.2119473642731101,0.3354413036249132,0.3354413036249132,0.5152116106839681,0.5604831581826817,0.5604831581826817,1.7202
simulation,scaled_raw_counts,negative_control,muscat,5,10,FALSE,50,8,10,0.21535316356386824,0.3637111401938992,0.3637111401938992,0.5234905876095635,0.6077187463773036,0.6077187463773036,1.731
simulation,logp1,delta_method,dyngen,1,5,FALSE,50,19,7,0.42417999666040695,0.5654890741552006,0.5654890741552006,1.0218217788915251,0.9931674281333511,0.9931674281333511,4.93
simulation,logp1_hvg,delta_method,dyngen,1,5,FALSE,50,19,7,0.43774748724775125,0.5720741065283409,0.5720741065283409,1.0545049734697767,1.004732708463439,1.004732708463439,4.9314
simulation,logp1_zscore,delta_method,dyngen,1,5,FALSE,50,19,11,0.5310817871579501,0.6782975393003615,0.6782975393003615,1.2793411777148986,1.1912927294351783,1.1912927294351783,6.7886
simulation,logp1_hvg_zscore,delta_method,dyngen,1,5,FALSE,50,19,11,0.5310817871579501,0.6782975393003615,0.6782975393003615,1.2793411777148986,1.1912927294351783,1.1912927294351783,6.7884
simulation,logp_cpm,delta_method,dyngen,1,5,FALSE,50,19,10,0.4642540504188193,0.6411084810029125,0.6411084810029125,1.1183575448899354,1.1259776542692135,1.1259776542692135,6.4358
simulation,logp1_size_normed,delta_method,dyngen,1,5,FALSE,50,19,7,0.43327642624749346,0.5664424006142178,0.5664424006142178,1.0437344808940188,0.9948417536521742,0.9948417536521742,4.7376
simulation,acosh,delta_method,dyngen,1,5,TRUE,50,19,8,0.4180768906900079,0.5696621315407568,0.5696621315407568,1.007119797071224,1.00049656119796,1.00049656119796,5.1536
simulation,logp_alpha,delta_method,dyngen,1,5,TRUE,50,19,10,0.4480743637964582,0.5896926121546204,0.5896926121546204,1.0793817414656066,1.0356760577165538,1.0356760577165538,5.3434
simulation,pearson,glm_residual,dyngen,1,5,TRUE,50,19,9,0.4644245429947994,0.6164426349529738,0.6164426349529738,1.1187682503184029,1.0826570739012409,1.0826570739012409,6.1694
simulation,pearson_clip,glm_residual,dyngen,1,5,TRUE,50,19,9,0.4585808197205442,0.6173418421291178,0.6173418421291178,1.1046911043934156,1.0842363498223966,1.0842363498223966,6.1708
simulation,pearson_clip_hvg,glm_residual,dyngen,1,5,TRUE,50,19,13,0.47679295472919486,0.6631006190142147,0.6631006190142147,1.148562942618853,1.1646024060921711,1.1646024060921711,6.1708
simulation,pearson_clip_zscore,glm_residual,dyngen,1,5,TRUE,50,19,11,0.46154733376358087,0.6356734729807341,0.6356734729807341,1.1118372420718248,1.1164321596063234,1.1164321596063234,6.359
simulation,pearson_clip_hvg_zscore,glm_residual,dyngen,1,5,TRUE,50,19,12,0.47197613011808653,0.6533570055838767,0.6533570055838767,1.1369595281922373,1.1474897156201382,1.1474897156201382,6.3592
simulation,pearson_analytic,glm_residual,dyngen,1,5,TRUE,50,19,9,0.4533960860821032,0.6061122135147299,0.6061122135147299,1.0922014212607336,1.064513773596665,1.064513773596665,6.3042
simulation,sctransform,glm_residual,dyngen,1,5,TRUE,50,19,9,0.4103910872528167,0.5955748323625414,0.5955748323625414,0.9886052009039542,1.0460069903244782,1.0460069903244782,6.0586
simulation,rand_quantile,glm_residual,dyngen,1,5,TRUE,50,19,9,0.37770803574474054,0.5492400859052827,0.5492400859052827,0.9098738743574025,0.964629359747063,0.964629359747063,4.5392
simulation,dino,latent_expr,dyngen,1,5,FALSE,50,19,9,0.33396412774049883,0.4527214585115356,0.4527214585115356,0.80449767028254,0.7951138707363944,0.7951138707363944,3.4316
simulation,normalisr_norm,latent_expr,dyngen,1,5,FALSE,50,19,9,0.4475120713126988,0.6174560577416839,0.6174560577416839,1.078027215767705,1.084436946494144,1.084436946494144,7.0818
simulation,sanity_map,latent_expr,dyngen,1,5,FALSE,50,19,16,0.3768458476294917,0.5979717700710218,0.5979717700710218,0.9077969197612431,1.0502167276441314,1.0502167276441314,5.8318
simulation,sanity_dists,latent_expr,dyngen,1,5,FALSE,50,19,5,0.03826557898101439,0.06807983412941039,0.06807983412941039,0.09217926892483266,0.119568488340934,0.119568488340934,0.7078
simulation,glmpca,count_model,dyngen,1,5,FALSE,50,19,9,0.4865197586621446,0.6344514965297975,0.6344514965297975,1.171994175057786,1.114286004597353,1.114286004597353,6.5856
